Species
Picidae sp.
Junco hyemalis oreganus
Oreothlypis celata
Setophaga coronata auduboni
Parulidae sp.
Tyrannidae sp.
Emberizidae sp.
Picoides pubescens
Oreothlypis ruficapilla
Trochilidae sp.
Colaptes auratus cafer
Accipitridae sp.
Vireo sp.
Pheugopedius atrogularis
Icteridae sp.
Turdidae sp.
Coccothraustes vespertinus
Streptoprocne semicollaris
Colaptes auratus auratus
Picoides scalaris
Oreothlypis peregrina
Grus canadensis
Accipiter sp.
Cardinalidae/Thraupidae sp.
Sitta sp.
Buteo sp.
Loxigilla portoricensis
Coccyzus vieilloti
Antrostomus noctitherus
Tiaris bicolor
Euphonia musica
Chordeiles gundlachii
Spindalis portoricensis
Columbidae sp.
Anatinae sp.
Icterus portoricensis
Fringillidae sp.
Laridae sp.
Hirundinidae sp.
Ammodramus henslowii
Porphyrio martinicus
Oreothlypis virginiae
Junco hyemalis caniceps
Empidonax sp.
Antrostomus sp.
Troglodytidae sp.
Cettia diphone
Serinus mozambicus
Amazilia beryllina
Picoides nuttallii
Picoides albolarvatus
Thryophilus sinaloa
Falco sp.
Empidonax difficilis/occidentalis
Apodidae sp.
Junco hyemalis mearnsi
Anas strepera
Anas discors
