"","species"
"1","Unknown plant"
"2","Athyrium filix-femina (L.) Roth"
"3","Oxalis oregana Nutt."
"4","Pseudotsuga menziesii (Mirb.) Franco var. menziesii"
"5","Pteridium aquilinum (L.) Kuhn"
"6","Rosa gymnocarpa Nutt."
"7","Rubus spectabilis Pursh"
"8","Dryopteris expansa (C. Presl) Fraser-Jenkins & Jermy"
"9","Mycelis muralis (L.) Dumort."
"10","Vancouveria hexandra (Hook.) C. Morren & Decne."
"11","Veronica sp."
"12","Actaea rubra (Aiton) Willd."
"13","Blechnum spicant (L.) Sm."
"14","Luzula parviflora (Ehrh.) Desv."
"15","Claytonia sibirica L."
"16","Frangula purshiana (DC.) A. Gray"
"17","Hieracium scouleri Hook."
"18","Mahonia nervosa (Pursh) Nutt."
"19","Polypodium sp."
"20","Senecio sp."
"21","Anemone sp."
"22","Carex sp."
"23","Poaceae sp."
"24","Vaccinium parvifolium Sm."
"25","Anemone deltoidea Hook."
"26","Luzula sp."
"27","Maianthemum dilatatum (Alph. Wood) A. Nelson & J.F. Macbr."
"28","Trillium ovatum Pursh"
"29","Galium triflorum Michx."
"30","Rubus ursinus Cham. & Schltdl."
"31","Cardamine nuttallii Greene"
"32","Lupinus sp."
"33","Polystichum munitum (Kaulf.) C. Presl"
"34","Acer circinatum Pursh"
"35","Clarkia similis F.H. Lewis & Ernst"
"36","Corylus cornuta Marshall var. californica (A. DC.) Sharp"
"37","Gaultheria shallon Pursh"
"38","Prosartes hookeri Torr."
"39","Prosartes smithii (Hook.) Utech, Shinwari & Kawano"
"40","Prosartes sp."
"41","Maianthemum racemosum (L.) Link"
"42","Asteraceae sp."
"43","Cardamine sp."
"44","Goodyera oblongifolia Raf."
"45","Veronica arvensis L."
"46","Stellaria crispa Cham. & Schltdl."
"47","Veronica officinalis L."
"48","Alnus rubra Bong."
"49","Hydrophyllum tenuipes A. Heller"
"50","Sambucus sp."
"51","Rubus laciniatus Willd."
"52","Rubus parviflorus Nutt."
"53","Prunus emarginata (Douglas ex Hook.) D. Dietr."
"54","Rubus sp."
"55","Senecio sylvaticus L."
"56","Dicentra formosa (Haw.) Walp."
"57","Sambucus racemosa/nigra"
"58","Tsuga heterophylla (Raf.) Sarg."
"59","Hypochaeris radicata L."
"60","Stellaria borealis Bigelow"
"61","Collomia sp."
"62","Liliaceae sp."
"63","Abies procera Rehder"
"64","Agrostis exarata Trin."
"65","Festuca sp."
"66","Cirsium arvense (L.) Scop."
"67","Viola sp."
"68","Vulpia myuros (L.) C.C. Gmel."
"69","Holodiscus discolor (Pursh) Maxim."
"70","Poaceae spp."
"71","Thermopsis montana Nutt."
"72","Chamerion angustifolium (L.) Holub"
"73","Hieracium albiflorum Hook."
"74","Hypochaeris glabra L."
"75","Lotus aboriginus Jeps."
"76","Crepis capillaris (L.) Wallr."
"77","Epilobium ciliatum Raf."
"78","Epilobium minutum Lindl. ex Lehm."
"79","Vulpia sp."
"80","Anaphalis margaritacea (L.) Benth."
"81","Panicum sp."
"82","Carex rossii Boott"
"83","Agrostis sp."
"84","Penstemon sp."
"85","Digitalis purpurea L."
"86","Lactuca serriola L."
"87","Luzula comosa E. Mey."
"88","Sonchus arvensis L."
"89","Galium aparine L."
"90","Holcus lanatus L."
"91","Campanula scouleri Hook. ex A. DC."
"92","Rubus leucodermis Douglas ex Torr. & A. Gray"
"93","Senecio vulgaris L."
"94","Adenocaulon bicolor Hook."
"95","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem."
"96","Cyperaceae sp."
"97","Leucanthemum vulgare Lam."
"98","Osmorhiza berteroi DC."
"99","Senecio jacobaea L."
"100","Tiarella trifoliata L. var. trifoliata"
"101","Cirsium vulgare (Savi) Ten."
"102","Prunella vulgaris L."
"103","Carex spp."
"104","Trientalis borealis Raf. ssp. latifolia (Hook.) Hultén"
"105","Cornus sericea L."
"106","Carex hendersonii L.H. Bailey"
"107","Ribes sanguineum Pursh"
"108","Hypericum scouleri Hook."
"109","Iris tenax Douglas ex Lindl."
"110","Cerastium arvense L."
"111","Cerastium fontanum Baumg."
"112","Mentha arvensis L."
"113","Phacelia heterophylla Pursh"
"114","Elymus sp."
"115","Aira sp."
"116","Pinus sp."
"117","Conyza canadensis (L.) Cronquist"
"118","Hypericum perforatum L."
"119","Aira caryophyllea L."
"120","Clinopodium vulgare L."
"121","Cerastium glomeratum Thuill."
"122","Anthoxanthum odoratum L."
"123","Acer macrophyllum Pursh"
"124","Trientalis borealis Raf."
"125","Veronica serpyllifolia L."
"126","Agoseris grandiflora (Nutt.) Greene"
"127","Aster sp."
"128","Stellaria calycantha (Ledeb.) Bong."
"129","Lolium perenne L."
"130","Phacelia sp."
"131","Stellaria sp."
"132","Bromus vulgaris (Hook.) Shear"
"133","Equisetum telmateia Ehrh."
"134","Hypochaeris sp."
"135","Lactuca biennis (Moench) Fernald"
"136","Solidago canadensis L."
"137","Rubus armeniacus Focke"
"138","Thuja plicata Donn ex D. Don"
"139","Abies grandis (Douglas ex D. Don) Lindl."
"140","Melica subulata (Griseb.) Scribn."
"141","Petasites frigidus (L.) Fr. var. palmatus (Aiton) Cronquist"
"142","Taraxacum sp."
"143","Viola spp."
"144","Collomia heterophylla Douglas ex Hook."
"145","Ranunculus uncinatus D. Don ex G. Don"
"146","Viola glabella Nutt."
"147","Petasites frigidus (L.) Fr."
"148","Saxifraga sp."
"149","Stachys chamissonis Benth. var. cooleyae (A. Heller) G. Mulligan & D. Munro"
"150","Tolmiea menziesii (Pursh) Torr. & A. Gray"
"151","Taraxacum officinale F.H. Wigg."
"152","Cardamine hirsuta L."
"153","Anemone lyallii Britton"
"154","Angelica genuflexa Nutt."
"155","Bromus sp."
"156","Juncus ensifolius Wikstr."
"157","Asarum caudatum Lindl."
"158","Juncus sp."
"159","Ranunculaceae sp."
"160","Saxifragaceae sp."
"161","Typha latifolia L."
"162","Lysichiton americanus Hultén & H. St. John"
"163","Mimulus guttatus DC."
"164","Veronica americana Schwein. ex Benth."
"165","Circaea alpina L."
"166","Galium sp."
"167","Maianthemum stellatum (L.) Link"
"168","Menziesia ferruginea Sm."
"169","Rubus spp."
"170","Monotropa hypopithys L."
"171","Vaccinium sp."
"172","Sonchus asper (L.) Hill"
"173","Cirsium sp."
"174","Trifolium sp."
"175","Cirsium edule Nutt."
"176","Galium trifidum L."
"177","Ilex aquifolium L."
"178","Streptopus amplexifolius (L.) DC."
"179","Dryopteris sp."
"180","Maianthemum sp."
"181","Oplopanax horridus (Sm.) Miq."
"182","Alopecurus sp."
"183","Dianthus armeria L."
"184","Madia sp."
"185","Castilleja sp."
"186","Vicia villosa Roth"
"187","Lathyrus polyphyllus Nutt."
"188","Vaccinium membranaceum Douglas ex Torr."
"189","Tragopogon sp."
"190","Cardamine oligosperma Nutt."
"191","Symphoricarpos albus (L.) S.F. Blake"
"192","Myosotis stricta Link ex Roem. & Schult."
"193","Agrostis capillaris L."
"194","Fabaceae sp."
"195","Achlys triphylla (Sm.) DC."
"196","Conyza sp."
"197","Galium oreganum Britton"
"198","Linnaea borealis L. ssp. longiflora (Torr.) Hultén"
"199","Tiarella trifoliata L."
"200","Apiaceae sp."
"201","Heracleum maximum W. Bartram"
"202","Spiraea douglasii Hook."
"203","Juncaceae sp."
"204","Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) Landon"
"205","Madia sativa Molina"
"206","Asplenium trichomanes-ramosum L."
"207","Polypodium glycyrrhiza D.C. Eaton"
"208","Xerophyllum tenax (Pursh) Nutt."
"209","Aster spp."
"210","Asteraceae spp."
"211","Minuartia sp."
"212","Lactuca sp."
"213","Plantago lanceolata L."
"214","Adiantum aleuticum (Rupr.) Paris"
"215","Rosaceae sp."
"216","Carex mertensii Prescott ex Bong."
"217","Hieracium sp."
"218","Pinus monticola Douglas ex D. Don"
"219","Penstemon richardsonii Douglas ex Lindl."
"220","Sambucus racemosa L."
"221","Cornus nuttallii Audubon ex Torr. & A. Gray"
"222","Stachys chamissonis Benth."
"223","Salix sp."
"224","Oenanthe sarmentosa C. Presl ex DC."
"225","Juncus effusus L."
"226","Lamiaceae sp."
"227","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes"
"228","Melica sp."
"229","Geranium sp."
"230","Vicia sativa L."
"231","Moehringia macrophylla (Hook.) Fenzl"
"232","Mentha sp."
"233","Lathyrus sp."
"234","Sambucus nigra L."
"235","Lotus sp."
"236","Viola sempervirens Greene"
"237","Galium tinctorium (L.) Scop."
"238","Luzula spp."
"239","Thalictrum occidentale A. Gray"
"240","Sorbus scopulina Greene"
"241","Unknown hardwood plant"
"242","Unknown softwood plant"
"243","Viola canadensis L."
"244","Stachys sp."
"245","Tiarella trifoliata L. var. unifoliata (Hook.) Kurtz"
"246","Vaccinium ovalifolium Sm."
"247","Angelica sp."
"248","Festuca occidentalis Hook."
"249","Ribes sp."
"250","Veronica chamaedrys L."
"251","Cytisus scoparius (L.) Link"
"252","Leucanthemum sp."
"253","Poa palustris L."
"254","Bromus sitchensis Trin."
"255","Elymus glaucus Buckley"
"256","Lapsana communis L."
"257","Cerastium sp."
"258","Oenanthe sp."
"259","Erigeron sp."
"260","Elymus trachycaulus (Link) Gould ex Shinners"
"261","Erigeron subtrinervis Rydb. ex Porter & Britton"
"262","Daucus carota L."
"263","Rubus lasiococcus A. Gray"
"264","Scirpus microcarpus J. Presl & C. Presl"
"265","Ranunculus arvensis L."
"266","Senecio triangularis Hook."
"267","Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve"
"268","Cornus canadensis L."
"269","Campanula sp."
"270","Spiraea sp."
"271","Listera cordata (L.) R. Br."
"272","Aquilegia formosa Fisch. ex DC."
"273","Malus fusca (Raf.) C.K. Schneid."
"274","Agrostis scabra Willd."
"275","Caryophyllaceae sp."
"276","Pseudotsuga menziesii (Mirb.) Franco"
"277","Stellaria longifolia Muhl. ex Willd."
"278","Botrychium multifidum (S.G. Gmel.) Trevis."
"279","Plantago sp."
"280","Plantago major L."
"281","Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli"
"282","Solidago sp."
"283","Epilobium spp."
"284","Epilobium sp."
"285","Acer sp."
"286","Physocarpus capitatus (Pursh) Kuntze"
"287","Acer saccharum Marshall var. saccharum"
"288","Betula alleghaniensis Britton"
"289","Circaea alpina L. ssp. alpina"
"290","Fagus grandifolia Ehrh."
"291","Huperzia sp."
"292","Abies balsamea (L.) Mill. var. phanerolepis Fernald"
"293","Acer pensylvanicum L."
"294","Betulaceae sp."
"295","Oxalis montana Raf."
"296","Trillium sp."
"297","Fraxinus americana L."
"298","Lycopodium sp."
"299","Abies sp."
"300","Maianthemum racemosum (L.) Link ssp. racemosum"
"301","Quercus rubra L."
"302","Tsuga canadensis (L.) Carrière"
"303","Viburnum lantanoides Michx."
"304","Picea sp."
"305","Acer rubrum L."
"306","Fraxinus pennsylvanica Marshall"
"307","Fraxinus sp."
"308","Betula sp."
"309","Pinus strobus L."
"310","Maianthemum canadense Desf."
"311","Oclemena acuminata (Michx.) Greene"
"312","Phegopteris sp."
"313","Aralia nudicaulis L."
"314","Uvularia sessilifolia L."
"315","Lycopus sp."
"316","Lycopus uniflorus Michx. var. uniflorus"
"317","Prunus pensylvanica L. f. var. pensylvanica"
"318","Lonicera sp."
"319","Lychnis coronaria (L.) Desr."
"320","Betula papyrifera Marshall var. papyrifera"
"321","Rubus pubescens Raf. var. pubescens"
"322","Monotropa uniflora L."
"323","Polygonatum pubescens (Willd.) Pursh"
"324","Platanthera sp."
"325","Populus sp."
"326","Betula lenta L."
"327","Sorbus americana Marshall"
"328","Clintonia sp."
"329","Medeola virginiana L."
"330","Epifagus virginiana (L.) W.P.C. Barton"
"331","Sorbus sp."
"332","Prunus serotina Ehrh. var. serotina"
"333","Dennstaedtia punctilobula (Michx.) T. Moore"
"334","Betula papyrifera Marshall var. cordifolia (Regel) Fernald"
"335","Populus grandidentata Michx."
"336","Athyrium filix-femina (L.) Roth ssp. angustum (Willd.) R.T. Clausen"
"337","Populus tremuloides Michx."
"338","Betula papyrifera Marshall"
"339","Fraxinus spp."
"340","Cornus alternifolia L. f."
"341","Betulaceae spp."
"342","Prunus pensylvanica L. f."
"343","Populus spp."
"344","Thelypteris sp."
"345","Taxus sp."
"346","Cypripedium sp."
"347","Mitchella repens L."
"348","Gaultheria procumbens L."
"349","Mentha ×villosa Huds. (pro sp.)"
"350","Ilex sp."
"351","Ilex mucronata (L.) Powell, Savolainen & Andrews"
"352","Prunus serotina Ehrh."
"353","Coptis sp."
"354","Trientalis borealis Raf. ssp. borealis"
"355","Acer saccharum Marshall"
"356","Quercus velutina Lam."
"357","Cornus amomum Mill."
"358","Corallorhiza sp."
"359","Betula populifolia Marshall"
"360","Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray"
"361","Hamamelis virginiana L."
"362","Amelanchier sp."
"363","Poa secunda J. Presl"
"364","Prenanthes sp."
"365","Streptopus sp."
"366","Streptopus lanceolatus (Aiton) Reveal"
"367","Viburnum sp."
"368","Aralia racemosa L. ssp. racemosa"
"369","Arisaema triphyllum (L.) Schott"
"370","Arisaema triphyllum (L.) Schott ssp. triphyllum"
"371","Lonicera morrowii A. Gray"
"372","Goodyera sp."
"373","Botrychium sp."
"374","Violaceae sp."
"375","Lyonia ligustrina (L.) DC."
"376","Onoclea sensibilis L."
"377","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller"
"378","Osmunda sp."
"379","Lycopodium hickeyi W.H. Wagner, Beitel & Moran"
"380","Chimaphila umbellata (L.) W.P.C. Barton ssp. cisatlantica (S.F. Blake) Hultén"
"381","Vaccinium angustifolium Aiton"
"382","Amelanchier laevis Wiegand"
"383","Kalmia sp."
"384","Viburnum lentago L."
"385","Vaccinium corymbosum L."
"386","Actaea sp."
"387","Carpinus caroliniana Walter ssp. virginiana (Marshall) Furlow"
"388","Solidago rugosa Mill."
"389","Rubus flagellaris Willd."
"390","Picea abies (L.) Karst."
"391","Diervilla lonicera Mill."
"392","Tsuga sp."
"393","Prunus virginiana L. var. virginiana"
"394","Viburnum acerifolium L."
"395","Rubus idaeus L."
"396","Quercus sp."
"397","Prunus sp."
"398","Plantae sp."
"399","Artemisia vulgaris L."
"400","Osmunda cinnamomea L. var. cinnamomea"
"401","Pyrola americana Sweet"
"402","Deparia sp."
"403","Pyrola elliptica Nutt."
"404","Betula alleghaniensis Britton var. alleghaniensis"
"405","Ostrya virginiana (Mill.) K. Koch"
"406","Corylus cornuta Marshall var. cornuta"
"407","Viola rostrata Pursh"
"408","Carya ovata (Mill.) K. Koch"
"409","Acer negundo L. var. negundo"
"410","Tilia americana L."
"411","Cornus sp."
"412","Lyonia ligustrina (L.) DC. var. ligustrina"
"413","Leersia virginica Willd."
"414","Lindera benzoin (L.) Blume"
"415","Oxalis stricta L."
"416","Rosa multiflora Thunb."
"417","Ailanthus altissima (Mill.) Swingle"
"418","Elymus virginicus L."
"419","Erechtites hieraciifolia (L.) Raf. ex DC."
"420","Hackelia virginiana (L.) I.M. Johnst."
"421","Liriodendron tulipifera L."
"422","Lonicera japonica Thunb."
"423","Lonicera maackii (Rupr.) Herder"
"424","Pilea pumila (L.) A. Gray"
"425","Ulmus sp."
"426","Carex blanda Dewey"
"427","Celtis occidentalis L."
"428","Oxalis sp."
"429","Smilax tamnoides L."
"430","Toxicodendron radicans (L.) Kuntze"
"431","Verbesina occidentalis (L.) Walter"
"432","Crataegus sp."
"433","Duchesnea indica (Andrews) Focke"
"434","Juglans nigra L."
"435","Polygonum hydropiperoides Michx."
"436","Quercus muehlenbergii Engelm."
"437","Rubus phoenicolasius Maxim."
"438","Smilax rotundifolia L."
"439","Alliaria petiolata (M. Bieb.) Cavara & Grande"
"440","Asimina triloba (L.) Dunal"
"441","Celastrus orbiculatus Thunb."
"442","Elymus macgregorii R. Brooks & J.J.N. Campb."
"443","Festuca subverticillata (Pers.) Alexeev"
"444","Microstegium vimineum (Trin.) A. Camus"
"445","Parthenocissus quinquefolia (L.) Planch."
"446","Polygonum sp."
"447","Verbesina alternifolia (L.) Britton ex Kearney"
"448","Vitis sp."
"449","Polygonum cespitosum Blume var. longisetum (Bruijn) A.N. Steward"
"450","Carex kraliana Naczi & Bryson"
"451","Poa compressa L."
"452","Poa sp."
"453","Polygonum virginianum L."
"454","Prunus avium (L.) L."
"455","Berberis thunbergii DC."
"456","Euonymus fortunei (Turcz.) Hand.-Maz."
"457","Nyssa sylvatica Marshall"
"458","Poa trivialis L."
"459","Pinaceae sp."
"460","Elymus hystrix L. var. hystrix"
"461","Juniperus virginiana L. var. virginiana"
"462","Ligustrum sinense Lour."
"463","Elymus hystrix L."
"464","Circaea lutetiana L."
"465","Polygonum convolvulus L. var. convolvulus"
"466","Elaeagnus umbellata Thunb."
"467","Sanicula canadensis L."
"468","Perilla frutescens (L.) Britton"
"469","Menispermum canadense L."
"470","Symphoricarpos orbiculatus Moench"
"471","Geum canadense Jacq."
"472","Platanus occidentalis L."
"473","Quercus michauxii Nutt."
"474","Ipomoea sp."
"475","Circaea lutetiana L. ssp. canadensis (L.) Asch. & Magnus"
"476","Agrostis gigantea Roth"
"477","Digitaria sp."
"478","Lobelia inflata L."
"479","Acalypha rhomboidea Raf."
"480","Carduus sp."
"481","Plantago rugelii Decne."
"482","Setaria faberi Herrm."
"483","Barbarea sp."
"484","Carduus acanthoides L."
"485","Morus alba L."
"486","Phleum pratense L."
"487","Spiranthes lacera (Raf.) Raf. var. gracilis (Bigelow) Luer"
"488","Verbena urticifolia L."
"489","Allium vineale L."
"490","Eragrostis capillaris (L.) Nees"
"491","Juncus tenuis Willd."
"492","Medicago lupulina L."
"493","Potentilla recta L."
"494","Sorghum halepense (L.) Pers."
"495","Stellaria graminea L."
"496","Trifolium campestre Schreb."
"497","Trifolium pratense L."
"498","Verbascum blattaria L."
"499","Eleusine indica (L.) Gaertn."
"500","Maclura pomifera (Raf.) C.K. Schneid."
"501","Symphyotrichum sp."
"502","Ambrosia artemisiifolia L."
"503","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl"
"504","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons."
"505","Setaria pumila (Poir.) Roem. & Schult."
"506","Muhlenbergia schreberi J.F. Gmel."
"507","Paspalum setaceum Michx."
"508","Setaria sp."
"509","Tridens flavus (L.) Hitchc."
"510","Trifolium repens L."
"511","Solanum carolinense L. var. carolinense"
"512","Andropogon virginicus L."
"513","Digitaria ischaemum (Schreb.) Schreb. ex Muhl."
"514","Poa pratensis L. ssp. pratensis"
"515","Solidago caesia L."
"516","Paspalum pubiflorum Rupr. ex Fourn."
"517","Digitaria ciliaris (Retz.) Koeler"
"518","Andropogon virginicus L. var. virginicus"
"519","Elymus repens (L.) Gould"
"520","Anagallis arvensis L."
"521","Panicum anceps Michx."
"522","Bromus arvensis L."
"523","Dactylis glomerata L. ssp. glomerata"
"524","Dichanthelium sp."
"525","Paspalum sp."
"526","Ranunculus bulbosus L."
"527","Arthraxon hispidus (Thunb.) Makino"
"528","Dactylis glomerata L."
"529","Polygonum aviculare L."
"530","Carex brevior (Dewey) Mack."
"531","Rhamnus davurica Pall."
"532","Conyza canadensis (L.) Cronquist var. canadensis"
"533","Digitaria sanguinalis (L.) Scop."
"534","Brassicaceae spp."
"535","Echinochloa crus-galli (L.) P. Beauv."
"536","Erigeron strigosus Muhl. ex Willd. var. strigosus"
"537","Brassicaceae sp."
"538","Calystegia sp."
"539","Physalis longifolia Nutt. var. subglabrata (Mack. & Bush) Cronquist"
"540","Physalis sp."
"541","Anthoxanthum sp."
"542","Teucrium canadense L."
"543","Chamaesyce nutans (Lag.) Small"
"544","Amaranthus spinosus L."
"545","Apocynum cannabinum L."
"546","Asclepias syriaca L."
"547","Hypericum punctatum Lam."
"548","Kummerowia striata (Thunb.) Schindl."
"549","Botrychium dissectum Spreng."
"550","Equisetum hyemale L. var. affine (Engelm.) A.A. Eaton"
"551","Boehmeria cylindrica (L.) Sw."
"552","Carex frankii Kunth"
"553","Carex vulpinoidea Michx."
"554","Glechoma hederacea L."
"555","Equisetum sp."
"556","Lespedeza cuneata (Dum. Cours.) G. Don"
"557","Andropogon sp."
"558","Cyperus sp."
"559","Diospyros sp."
"560","Carex molestiformis Reznicek & P. Rothr."
"561","Solanaceae sp."
"562","Cynanchum sp."
"563","Carex cephalophora Muhl. ex Willd."
"564","Erigeron annuus (L.) Pers."
"565","Lepidium virginicum L."
"566","Ipomoea pandurata (L.) G. Mey."
"567","Sassafras sp."
"568","Saccharum baldwinii Spreng."
"569","Verbascum thapsus L."
"570","Symphyotrichum lanceolatum (Willd.) G.L. Nesom"
"571","Barbarea vulgaris W.T. Aiton"
"572","Lactuca canadensis L."
"573","Melilotus officinalis (L.) Lam."
"574","Mollugo verticillata L."
"575","Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt"
"576","Robinia pseudoacacia L."
"577","Silene antirrhina L."
"578","Silene latifolia Poir."
"579","Carduus nutans L."
"580","Cornus florida L."
"581","Rumex crispus L. ssp. crispus"
"582","Anthemis arvensis L."
"583","Lepidium sp."
"584","Muscari botryoides (L.) Mill."
"585","Triodanis perfoliata (L.) Nieuwl."
"586","Polygonum pensylvanicum L."
"587","Dichanthelium clandestinum (L.) Gould"
