"","species"
"1","Syntomus americanus"
"2","Notiophilus sylvaticus"
"3","Pterostichus lama"
"4","Scaphinotus angusticollis"
"5","Scaphinotus angulatus"
"6","Nebria brevicollis"
"7","Scaphinotus marginatus"
"8","Amara farcta"
"9","Bradycellus harpalinus"
"10","Pterostichus pumilus pumilus"
"11","Promecognathus crassus"
"12","Cychrus tuberculatus"
"13","Pterostichus amethystinus"
"14","Amara laevipennis"
"15","Harpalus affinis"
"16","Omus dejeanii"
"17","Zacotus matthewsii"
"18","Harpalus cautus"
"19","Harpalus innocuus"
"20","Amara brunnea"
"21","Amara ellipsis"
"22","Amara littoralis"
"23","Harpalus laticeps"
"24","Amara conflata"
"25","Amara coelebs"
"26","Pterostichus pumilus"
"27","Amara pseudobrunnea"
"28","Pterostichus herculaneus"
"29","Harpalus cordifer"
"30","Pterostichus algidus"
"31","Omus audouini"
"32","Omus californicus"
"33","Agonoleptus conjunctus"
"34","Microlestes nigrinus"
"35","Calathus fuscipes"
"36","Platynus ovipennis"
"37","Lionepha casta"
"38","Bembidion iridescens"
"39","Bembidion quadrimaculatum"
"40","Leistus ferruginosus"
"41","Amara musculis"
"42","Bembidion lampros"
"43","Trechus obtusus"
"44","Pterostichus castaneus"
"45","Bembidion nigrocoeruleum"
"46","Pterostichus crenicollis"
"47","Pterostichus rostratus"
"48","Pterostichus lachrymosus"
"49","Pterostichus pensylvanicus"
"50","Synuchus impunctatus"
"51","Pterostichus tristis"
"52","Cymindis neglecta"
"53","Pterostichus coracinus"
"54","Cymindis cribricollis"
"55","Sphaeroderus stenostomus lecontei"
"56","Notiophilus aeneus"
"57","Sphaeroderus canadensis canadensis"
"58","Pterostichus adoxus"
"59","Agonum retractum"
"60","Chlaenius emarginatus"
"61","Cymindis platicollis platicollis"
"62","Trechus apicalis"
"63","Myas cyanescens"
"64","Cymindis limbata"
"65","Calathus ingratus"
"66","Scaphinotus viduus"
"67","Pterostichus adstrictus"
"68","Gastrellarius honestus"
"69","Dicaelus politus"
"70","Platynus decentis"
"71","Cymindis platicollis"
"72","Agonum mutatum"
"73","Pterostichus mutus"
"74","Chlaenius aestivus"
"75","Cyclotrachelus furtivus"
"76","Anisodactylus agricola"
"77","Pterostichus trinarius"
"78","Pterostichus stygicus"
"79","Calathus gregarius"
"80","Chlaenius tricolor tricolor"
"81","Dicaelus dilatatus dilatatus"
"82","Pterostichus permundus"
"83","Notiophilus semistriatus"
"84","Poecilus lucublandus"
"85","Dicaelus elongatus"
"86","Cicindela sexguttata"
"87","Galerita bicolor"
"88","Trechus quadristriatus"
"89","Trichotichnus fulgens"
"90","Anisodactylus merula"
"91","Cyclotrachelus sigillatus"
"92","Bembidion pedicellatum"
"93","Sphaeroderus stenostomus stenostomus"
"94","Amara crassispina"
"95","Scarites subterraneus"
"96","Harpalus vagans"
"97","Harpalus pensylvanicus"
"98","Anisodactylus ovularis"
"99","Anisodactylus rusticus"
"100","Anisodactylus dulcicollis"
"101","Chlaenius tomentosus"
"102","Tetracha virginica"
"103","Harpalus faunus"
"104","Harpalus caliginosus"
"105","Harpalus compar"
"106","Harpalus erythropus"
"107","Dyschirius globulosus"
"108","Harpalus rubripes"
"109","Amara aenea"
"110","Agonoleptus rotundatus"
"111","Paraclivina bipustulata"
"112","Cicindela punctulata punctulata"
"113","Tachys potomaca"
"114","Scarites vicinus"
"115","Chlaenius laticollis"
"116","Chlaenius sericeus"
"117","Harpalus herbivagus"
"118","Chlaenius impunctifrons"
"119","Agonum punctiforme"
"120","Harpalus somnulentus"
"121","Anisodactylus nigerrimus"
"122","Amphasia interstitialis"
"123","Amara lunicollis"
"124","Calathus opaculus"
"125","Brachinus fumans"
"126","Badister notatus"
"127","Agonoleptus thoracicus"
