"","x"
"1","Unknown plant"
"2","Athyrium filix-femina"
"3","Oxalis oregana"
"4","Pseudotsuga menziesii"
"5","Pteridium aquilinum"
"6","Rosa gymnocarpa"
"7","Rubus spectabilis"
"8","Dryopteris expansa"
"9","Mycelis muralis"
"10","Vancouveria hexandra"
"11","Veronica sp."
"12","Actaea rubra"
"13","Blechnum spicant"
"14","Luzula parviflora"
"15","Claytonia sibirica"
"16","Frangula purshiana"
"17","Hieracium scouleri"
"18","Mahonia nervosa"
"19","Polypodium sp."
"20","Senecio sp."
"21","Anemone sp."
"22","Carex sp."
"23","Poaceae sp."
"24","Vaccinium parvifolium"
"25","Anemone deltoidea"
"26","Luzula sp."
"27","Maianthemum dilatatum"
"28","Trillium ovatum"
"29","Galium triflorum"
"30","Rubus ursinus"
"31","Cardamine nuttallii"
"32","Lupinus sp."
"33","Polystichum munitum"
"34","Acer circinatum"
"35","Clarkia similis"
"36","Corylus cornuta"
"37","Gaultheria shallon"
"38","Prosartes hookeri"
"39","Prosartes smithii"
"40","Prosartes sp."
"41","Maianthemum racemosum"
"42","Asteraceae sp."
"43","Cardamine sp."
"44","Goodyera oblongifolia"
"45","Veronica arvensis"
"46","Stellaria crispa"
"47","Veronica officinalis"
"48","Alnus rubra"
"49","Hydrophyllum tenuipes"
"50","Sambucus sp."
"51","Rubus laciniatus"
"52","Rubus parviflorus"
"53","Prunus emarginata"
"54","Rubus sp."
"55","Senecio sylvaticus"
"56","Dicentra formosa"
"57","Sambucus racemosa/nigra"
"58","Tsuga heterophylla"
"59","Hypochaeris radicata"
"60","Stellaria borealis"
"61","Collomia sp."
"62","Liliaceae sp."
"63","Abies procera"
"64","Agrostis exarata"
"65","Festuca sp."
"66","Cirsium arvense"
"67","Viola sp."
"68","Vulpia myuros"
"69","Holodiscus discolor"
"70","Poaceae spp."
"71","Thermopsis montana"
"72","Chamerion angustifolium"
"73","Hieracium albiflorum"
"74","Hypochaeris glabra"
"75","Lotus aboriginus"
"76","Crepis capillaris"
"77","Epilobium ciliatum"
"78","Epilobium minutum"
"79","Vulpia sp."
"80","Anaphalis margaritacea"
"81","Panicum sp."
"82","Carex rossii"
"83","Agrostis sp."
"84","Penstemon sp."
"85","Digitalis purpurea"
"86","Lactuca serriola"
"87","Luzula comosa"
"88","Sonchus arvensis"
"89","Galium aparine"
"90","Holcus lanatus"
"91","Campanula scouleri"
"92","Rubus leucodermis"
"93","Senecio vulgaris"
"94","Adenocaulon bicolor"
"95","Amelanchier alnifolia"
"96","Cyperaceae sp."
"97","Leucanthemum vulgare"
"98","Osmorhiza berteroi"
"99","Senecio jacobaea"
"100","Tiarella trifoliata"
"101","Cirsium vulgare"
"102","Prunella vulgaris"
"103","Carex spp."
"104","Trientalis borealis"
"105","Cornus sericea"
"106","Carex hendersonii"
"107","Ribes sanguineum"
"108","Hypericum scouleri"
"109","Iris tenax"
"110","Cerastium arvense"
"111","Cerastium fontanum"
"112","Mentha arvensis"
"113","Phacelia heterophylla"
"114","Elymus sp."
"115","Aira sp."
"116","Pinus sp."
"117","Conyza canadensis"
"118","Hypericum perforatum"
"119","Aira caryophyllea"
"120","Clinopodium vulgare"
"121","Cerastium glomeratum"
"122","Anthoxanthum odoratum"
"123","Acer macrophyllum"
"124","Trientalis borealis"
"125","Veronica serpyllifolia"
