"Athyrium filix-femina,"
"Oxalis oregana,"
"Pseudotsuga menziesii,"
"Pteridium aquilinum,"
"Rosa gymnocarpa,"
"Dryopteris expansa,"
"Mycelis muralis,"
"Vancouveria hexandra,"
"Actaea rubra,"
"Luzula parviflora,"
"Claytonia sibirica,"
"Frangula purshiana,"
"Hieracium scouleri,"
"Mahonia nervosa,"
"Vaccinium parvifolium,"
"Anemone deltoidea,"
"Maianthemum dilatatum,"
"Trillium ovatum,"
"Galium triflorum,"
"Rubus ursinus,"
"Cardamine nuttallii,"
"Polystichum munitum,"
"Acer circinatum,"
"Clarkia similis,"
"Corylus cornuta,"
"Gaultheria shallon,"
"Prosartes hookeri,"
"Prosartes smithii,"
"Maianthemum racemosum,"
"Goodyera oblongifolia,"
"Veronica arvensis,"
"Veronica officinalis,"
"Alnus rubra,"
"Hydrophyllum tenuipes,"
"Rubus laciniatus,"
"Rubus parviflorus,"
"Prunus emarginata,"
"Senecio sylvaticus,"
"Dicentra formosa,"
"Sambucus racemosa/nigra,"
"Tsuga heterophylla,"
"Hypochaeris radicata,"
"Stellaria borealis,"
"Abies procera,"
"Agrostis exarata,"
"Cirsium arvense,"
"Vulpia myuros,"
"Holodiscus discolor,"
"Thermopsis montana,"
"Chamerion angustifolium,"
"Hieracium albiflorum,"
"Hypochaeris glabra,"
"Lotus aboriginus,"
"Crepis capillaris,"
"Epilobium ciliatum,"
"Epilobium minutum,"
"Anaphalis margaritacea,"
"Carex rossii,"
"Digitalis purpurea,"
"Lactuca serriola,"
"Luzula comosa,"
"Sonchus arvensis,"
"Galium aparine,"
"Holcus lanatus,"
"Campanula scouleri,"
"Rubus leucodermis,"
"Senecio vulgaris,"
"Adenocaulon bicolor,"
"Amelanchier alnifolia,"
"Leucanthemum vulgare,"
"Osmorhiza berteroi,"
"Senecio jacobaea,"
"Tiarella trifoliata,"
"Cirsium vulgare,"
"Prunella vulgaris,"
"Trientalis borealis,"
"Cornus sericea,"
"Carex hendersonii,"
"Ribes sanguineum,"
"Hypericum scouleri,"
"Iris tenax,"
"Cerastium arvense,"
"Cerastium fontanum,"
"Mentha arvensis,"
"Phacelia heterophylla,"
"Conyza canadensis,"
"Hypericum perforatum,"
"Aira caryophyllea,"
"Clinopodium vulgare,"
"Cerastium glomeratum,"
"Anthoxanthum odoratum,"
"Acer macrophyllum,"
"Trientalis borealis,"
"Veronica serpyllifolia,"
"Agoseris grandiflora,"
"Stellaria calycantha,"
"Lolium perenne,"
"Bromus vulgaris,"
"Equisetum telmateia,"
"Lactuca biennis,"
"Solidago canadensis,"
"Rubus armeniacus,"
"Thuja plicata,"
"Abies grandis,"
"Melica subulata,"
"Petasites frigidus,"
"Collomia heterophylla,"
"Ranunculus uncinatus,"
"Viola glabella,"
"Petasites frigidus,"
"Stachys chamissonis,"
"Tolmiea menziesii,"
"Taraxacum officinale,"
"Cardamine hirsuta,"
"Anemone lyallii,"
"Angelica genuflexa,"
"Juncus ensifolius,"
"Asarum caudatum,"
"Typha latifolia,"
"Lysichiton americanus,"
"Mimulus guttatus,"
"Veronica americana,"
"Circaea alpina,"
"Maianthemum stellatum,"
"Menziesia ferruginea,"
"Monotropa hypopithys,"
"Cirsium edule,"
"Galium trifidum,"
"Ilex aquifolium,"
"Streptopus amplexifolius,"
"Oplopanax horridus,"
"Dianthus armeria,"
"Vicia villosa,"
"Lathyrus polyphyllus,"
"Vaccinium membranaceum,"
"Symphoricarpos albus,"
"Myosotis stricta,"
"Agrostis capillaris,"
"Achlys triphylla,"
"Galium oreganum,"
"Linnaea borealis,"
"Tiarella trifoliata,"
"Heracleum maximum,"
"Spiraea douglasii,"
"Oemleria cerasiformis,"
"Madia sativa,"
"Polypodium glycyrrhiza,"
"Xerophyllum tenax,"
"Plantago lanceolata,"
"Adiantum aleuticum,"
"Carex mertensii,"
"Pinus monticola,"
"Penstemon richardsonii,"
"Sambucus racemosa,"
"Cornus nuttallii,"
"Stachys chamissonis,"
"Oenanthe sarmentosa,"
"Juncus effusus,"
"Abies amabilis,"
"Vicia sativa,"
"Moehringia macrophylla,"
"Sambucus nigra,"
"Viola sempervirens,"
"Galium tinctorium,"
"Thalictrum occidentale,"
"Sorbus scopulina,"
"Unknown hardwood,"
"Unknown softwood,"
"Viola canadensis,"
"Tiarella trifoliata,"
"Vaccinium ovalifolium,"
"Festuca occidentalis,"
"Veronica chamaedrys,"
"Cytisus scoparius,"
"Poa palustris,"
"Bromus sitchensis,"
"Elymus glaucus,"
"Lapsana communis,"
"Elymus trachycaulus,"
"Erigeron subtrinervis,"
"Daucus carota,"
"Rubus lasiococcus,"
"Scirpus microcarpus,"
"Ranunculus arvensis,"
"Senecio triangularis,"
"Alnus viridis,"
"Cornus canadensis,"
"Listera cordata,"
"Aquilegia formosa,"
"Malus fusca,"
"Agrostis scabra,"
"Pseudotsuga menziesii,"
"Stellaria longifolia,"
"Botrychium multifidum,"
"Plantago major,"
"Sambucus nigra,"
"Physocarpus capitatus,"
"Acer saccharum,"
"Betula alleghaniensis,"
"Circaea alpina,"
"Fagus grandifolia,"
"Abies balsamea,"
"Acer pensylvanicum,"
"Oxalis montana,"
"Fraxinus americana,"
"Maianthemum racemosum,"
"Quercus rubra,"
"Tsuga canadensis,"
"Viburnum lantanoides,"
"Acer rubrum,"
"Fraxinus pennsylvanica,"
"Pinus strobus,"
"Maianthemum canadense,"
"Oclemena acuminata,"
"Aralia nudicaulis,"
"Uvularia sessilifolia,"
"Lycopus uniflorus,"
"Prunus pensylvanica,"
"Lychnis coronaria,"
"Betula papyrifera,"
"Rubus pubescens,"
"Monotropa uniflora,"
"Polygonatum pubescens,"
"Betula lenta,"
"Sorbus americana,"
"Medeola virginiana,"
"Epifagus virginiana,"
"Prunus serotina,"
"Dennstaedtia punctilobula,"
"Betula papyrifera,"
"Populus grandidentata,"
"Athyrium filix-femina,"
"Populus tremuloides,"
"Betula papyrifera,"
"Cornus alternifolia,"
"Prunus pensylvanica,"
"Mitchella repens,"
"Gaultheria procumbens,"
"Mentha ×villosa,"
"Ilex mucronata,"
"Prunus serotina,"
"Trientalis borealis,"
"Acer saccharum,"
"Quercus velutina,"
"Cornus amomum,"
"Betula populifolia,"
"Viburnum nudum,"
"Hamamelis virginiana,"
"Poa secunda,"
"Streptopus lanceolatus,"
"Aralia racemosa,"
"Arisaema triphyllum,"
"Arisaema triphyllum,"
"Lonicera morrowii,"
"Lyonia ligustrina,"
"Onoclea sensibilis,"
"Pteridium aquilinum,"
"Lycopodium hickeyi,"
"Chimaphila umbellata,"
"Vaccinium angustifolium,"
"Amelanchier laevis,"
"Viburnum lentago,"
"Vaccinium corymbosum,"
"Carpinus caroliniana,"
"Solidago rugosa,"
"Rubus flagellaris,"
"Picea abies,"
"Diervilla lonicera,"
"Prunus virginiana,"
"Viburnum acerifolium,"
"Rubus idaeus,"
"Artemisia vulgaris,"
"Osmunda cinnamomea,"
"Pyrola americana,"
"Pyrola elliptica,"
"Betula alleghaniensis,"
"Ostrya virginiana,"
"Corylus cornuta,"
"Viola rostrata,"
"Carya ovata,"
"Acer negundo,"
"Tilia americana,"
"Lyonia ligustrina,"
"Leersia virginica,"
"Lindera benzoin,"
"Oxalis stricta,"
"Rosa multiflora,"
"Ailanthus altissima,"
"Elymus virginicus,"
"Erechtites hieraciifolia,"
"Hackelia virginiana,"
"Liriodendron tulipifera,"
"Lonicera japonica,"
"Lonicera maackii,"
"Pilea pumila,"
"Carex blanda,"
"Celtis occidentalis,"
"Smilax tamnoides,"
"Toxicodendron radicans,"
"Verbesina occidentalis,"
"Duchesnea indica,"
"Juglans nigra,"
"Polygonum hydropiperoides,"
"Quercus muehlenbergii,"
"Rubus phoenicolasius,"
"Smilax rotundifolia,"
"Alliaria petiolata,"
"Asimina triloba,"
"Celastrus orbiculatus,"
"Elymus macgregorii,"
"Festuca subverticillata,"
"Microstegium vimineum,"
"Parthenocissus quinquefolia,"
"Verbesina alternifolia,"
"Carex kraliana,"
"Poa compressa,"
"Polygonum virginianum,"
"Prunus avium,"
"Berberis thunbergii,"
"Euonymus fortunei,"
"Nyssa sylvatica,"
"Poa trivialis,"
"Elymus hystrix,"
"Juniperus virginiana,"
"Ligustrum sinense,"
"Elymus hystrix,"
"Circaea lutetiana,"
"Polygonum convolvulus,"
"Elaeagnus umbellata,"
"Sanicula canadensis,"
"Perilla frutescens,"
"Symphoricarpos orbiculatus,"
"Geum canadense,"
"Platanus occidentalis,"
"Quercus michauxii,"
"Circaea lutetiana,"
"Agrostis gigantea,"
"Lobelia inflata,"
"Acalypha rhomboidea,"
"Plantago rugelii,"
"Setaria faberi,"
"Carduus acanthoides,"
"Morus alba,"
"Phleum pratense,"
"Spiranthes lacera,"
"Verbena urticifolia,"
"Allium vineale,"
"Eragrostis capillaris,"
"Juncus tenuis,"
"Medicago lupulina,"
"Potentilla recta,"
"Sorghum halepense,"
"Stellaria graminea,"
"Trifolium campestre,"
"Trifolium pratense,"
"Verbascum blattaria,"
"Eleusine indica,"
"Maclura pomifera,"
