"","plantspeciescut2df[!grepl(""sp."", plantspeciescut2df$plantspeciescut), ]","species"
"1","Unknown plant","Unknown plant"
"2","Athyrium filix-femina","Athyrium filix-femina"
"3","Oxalis oregana","Oxalis oregana"
"4","Pseudotsuga menziesii","Pseudotsuga menziesii"
"5","Pteridium aquilinum","Pteridium aquilinum"
"6","Rosa gymnocarpa","Rosa gymnocarpa"
"7","Dryopteris expansa","Dryopteris expansa"
"8","Mycelis muralis","Mycelis muralis"
"9","Vancouveria hexandra","Vancouveria hexandra"
"10","Actaea rubra","Actaea rubra"
"11","Luzula parviflora","Luzula parviflora"
"12","Claytonia sibirica","Claytonia sibirica"
"13","Frangula purshiana","Frangula purshiana"
"14","Hieracium scouleri","Hieracium scouleri"
"15","Mahonia nervosa","Mahonia nervosa"
"16","Vaccinium parvifolium","Vaccinium parvifolium"
"17","Anemone deltoidea","Anemone deltoidea"
"18","Maianthemum dilatatum","Maianthemum dilatatum"
"19","Trillium ovatum","Trillium ovatum"
"20","Galium triflorum","Galium triflorum"
"21","Rubus ursinus","Rubus ursinus"
"22","Cardamine nuttallii","Cardamine nuttallii"
"23","Polystichum munitum","Polystichum munitum"
"24","Acer circinatum","Acer circinatum"
"25","Clarkia similis","Clarkia similis"
"26","Corylus cornuta","Corylus cornuta"
"27","Gaultheria shallon","Gaultheria shallon"
"28","Prosartes hookeri","Prosartes hookeri"
"29","Prosartes smithii","Prosartes smithii"
"30","Maianthemum racemosum","Maianthemum racemosum"
"31","Goodyera oblongifolia","Goodyera oblongifolia"
"32","Veronica arvensis","Veronica arvensis"
"33","Veronica officinalis","Veronica officinalis"
"34","Alnus rubra","Alnus rubra"
"35","Hydrophyllum tenuipes","Hydrophyllum tenuipes"
"36","Rubus laciniatus","Rubus laciniatus"
"37","Rubus parviflorus","Rubus parviflorus"
"38","Prunus emarginata","Prunus emarginata"
"39","Senecio sylvaticus","Senecio sylvaticus"
"40","Dicentra formosa","Dicentra formosa"
"41","Sambucus racemosa/nigra","Sambucus racemosa/nigra"
"42","Tsuga heterophylla","Tsuga heterophylla"
"43","Hypochaeris radicata","Hypochaeris radicata"
"44","Stellaria borealis","Stellaria borealis"
"45","Abies procera","Abies procera"
"46","Agrostis exarata","Agrostis exarata"
"47","Cirsium arvense","Cirsium arvense"
"48","Vulpia myuros","Vulpia myuros"
"49","Holodiscus discolor","Holodiscus discolor"
"50","Thermopsis montana","Thermopsis montana"
"51","Chamerion angustifolium","Chamerion angustifolium"
"52","Hieracium albiflorum","Hieracium albiflorum"
"53","Hypochaeris glabra","Hypochaeris glabra"
"54","Lotus aboriginus","Lotus aboriginus"
"55","Crepis capillaris","Crepis capillaris"
"56","Epilobium ciliatum","Epilobium ciliatum"
"57","Epilobium minutum","Epilobium minutum"
"58","Anaphalis margaritacea","Anaphalis margaritacea"
"59","Carex rossii","Carex rossii"
"60","Digitalis purpurea","Digitalis purpurea"
"61","Lactuca serriola","Lactuca serriola"
"62","Luzula comosa","Luzula comosa"
"63","Sonchus arvensis","Sonchus arvensis"
"64","Galium aparine","Galium aparine"
"65","Holcus lanatus","Holcus lanatus"
"66","Campanula scouleri","Campanula scouleri"
"67","Rubus leucodermis","Rubus leucodermis"
"68","Senecio vulgaris","Senecio vulgaris"
"69","Adenocaulon bicolor","Adenocaulon bicolor"
"70","Amelanchier alnifolia","Amelanchier alnifolia"
"71","Leucanthemum vulgare","Leucanthemum vulgare"
"72","Osmorhiza berteroi","Osmorhiza berteroi"
"73","Senecio jacobaea","Senecio jacobaea"
"74","Tiarella trifoliata","Tiarella trifoliata"
"75","Cirsium vulgare","Cirsium vulgare"
"76","Prunella vulgaris","Prunella vulgaris"
"77","Trientalis borealis","Trientalis borealis"
"78","Cornus sericea","Cornus sericea"
"79","Carex hendersonii","Carex hendersonii"
"80","Ribes sanguineum","Ribes sanguineum"
"81","Hypericum scouleri","Hypericum scouleri"
"82","Iris tenax","Iris tenax"
"83","Cerastium arvense","Cerastium arvense"
"84","Cerastium fontanum","Cerastium fontanum"
"85","Mentha arvensis","Mentha arvensis"
"86","Phacelia heterophylla","Phacelia heterophylla"
"87","Conyza canadensis","Conyza canadensis"
"88","Hypericum perforatum","Hypericum perforatum"
"89","Aira caryophyllea","Aira caryophyllea"
"90","Clinopodium vulgare","Clinopodium vulgare"
"91","Cerastium glomeratum","Cerastium glomeratum"
"92","Anthoxanthum odoratum","Anthoxanthum odoratum"
"93","Acer macrophyllum","Acer macrophyllum"
"94","Trientalis borealis","Trientalis borealis"
"95","Veronica serpyllifolia","Veronica serpyllifolia"
"96","Agoseris grandiflora","Agoseris grandiflora"
"97","Stellaria calycantha","Stellaria calycantha"
"98","Lolium perenne","Lolium perenne"
"99","Bromus vulgaris","Bromus vulgaris"
"100","Equisetum telmateia","Equisetum telmateia"
"101","Lactuca biennis","Lactuca biennis"
"102","Solidago canadensis","Solidago canadensis"
"103","Rubus armeniacus","Rubus armeniacus"
"104","Thuja plicata","Thuja plicata"
"105","Abies grandis","Abies grandis"
